	chao1	PD_whole_tree	observed_otus
2016_1	3944.0	153.16518	3755.0
2016_3	3689.80473373	143.09837	3384.0
2016_2	3938.77083333	153.31417	3773.0
2016_4	3558.18	140.56717	3291.0
2017_2	4326.5	167.51567	4273.0
2017_1	4085.13953488	155.17351	3928.0
2017_3	3798.06402439	144.28556	3479.0
2017_4	4236.06535948	161.0163	4094.0
2017_5	3913.25888325	151.51737	3733.0
2017_6	3545.265	134.14236	3252.0
2017_7	3811.50649351	147.06169	3636.0
2017_8	3959.65517241	151.00613	3745.0
	chao1	PD_whole_tree	observed_otus
2016_1	3062.08333333	125.07979	2956.0
2016_3	2961.28865979	120.44721	2752.0
2016_2	3067.55434783	125.40754	2975.0
2016_4	2829.46835443	118.13871	2677.0
2017_2	3311.875	135.81605	3290.0
2017_1	3212.62921348	129.19074	3111.0
2017_3	3005.74698795	121.0534	2822.0
2017_4	3259.6625	131.58665	3194.0
2017_5	3085.24409449	125.73631	2980.0
2017_6	2824.93793103	112.70976	2612.0
2017_7	2994.17204301	122.69393	2894.0
2017_8	3102.4	125.85845	2980.0
	chao1	PD_whole_tree	observed_otus
2016_1	2563.79411765	109.97823	2491.0
2016_3	2480.28	105.87901	2343.0
2016_2	2572.63076923	109.97595	2501.0
2016_4	2359.16806723	103.35134	2264.0
2017_2	2758.15384615	118.50047	2747.0
2017_1	2678.52459016	113.52004	2620.0
2017_3	2536.04123711	108.07061	2424.0
2017_4	2707.88235294	115.10469	2672.0
2017_5	2617.24418605	111.13573	2530.0
2017_6	2414.11570248	100.8486	2248.0
2017_7	2495.8	107.91553	2446.0
2017_8	2595.90140845	110.43479	2513.0
	chao1	PD_whole_tree	observed_otus
2016_1	2209.13793103	98.90803	2160.0
2016_3	2150.45901639	95.57878	2043.0
2016_2	2216.84482759	98.83806	2169.0
2016_4	2065.06896552	93.58332	1983.0
2017_2	2359.10714286	105.78137	2353.0
2017_1	2295.35714286	101.68646	2256.0
2017_3	2196.97560976	97.53473	2127.0
2017_4	2307.5	102.94426	2290.0
2017_5	2256.4	99.9114	2192.0
2017_6	2092.51886792	91.2706	1957.0
2017_7	2161.72222222	97.10368	2117.0
2017_8	2237.12280702	99.44263	2173.0
	chao1	PD_whole_tree	observed_otus
2016_1	1963.36538462	89.66496	1927.0
2016_3	1934.0625	87.18367	1833.0
2016_2	1990.48979592	90.0252	1944.0
2016_4	1850.11842105	85.32459	1781.0
2017_2	2089.61904762	95.45809	2087.0
2017_1	2042.78125	91.93574	2009.0
2017_3	1970.02173913	89.57894	1920.0
2017_4	2057.77272727	92.87923	2038.0
2017_5	2021.96078431	91.08632	1969.0
2017_6	1878.72527473	82.85106	1764.0
2017_7	1934.46666667	88.21122	1899.0
2017_8	1992.88372093	90.00139	1943.0
	chao1	PD_whole_tree	observed_otus
2016_1	1793.45945946	84.08533	1759.0
2016_3	1760.7826087	81.82777	1685.0
2016_2	1813.56097561	84.42973	1776.0
2016_4	1706.26666667	80.57416	1641.0
2017_2	1906.0	89.47895	1903.0
2017_1	1870.37037037	86.5889	1840.0
2017_3	1804.54471545	84.24151	1761.0
2017_4	1879.11764706	86.92256	1860.0
2017_5	1844.4	85.35427	1801.0
2017_6	1726.59036145	78.29233	1624.0
2017_7	1764.75	82.80737	1736.0
2017_8	1825.24324324	84.64923	1779.0
	chao1	PD_whole_tree	observed_otus
2016_1	1642.51612903	78.70347	1612.0
2016_3	1604.85714286	76.72496	1544.0
2016_2	1662.02941176	78.91745	1626.0
2016_4	1561.77358491	75.60455	1508.0
2017_2	1737.21428571	83.42335	1734.0
2017_1	1712.95652174	80.84127	1684.0
2017_3	1653.78	78.81077	1611.0
2017_4	1713.4	81.20889	1698.0
2017_5	1674.51219512	79.93563	1647.0
2017_6	1581.04	73.14835	1489.0
2017_7	1612.79411765	77.28615	1591.0
2017_8	1673.0	79.32482	1628.0
	chao1	PD_whole_tree	observed_otus
2016_1	1503.78571429	74.12781	1480.0
2016_3	1481.77777778	72.49067	1424.0
2016_2	1514.89655172	74.15965	1488.0
2016_4	1430.78431373	71.5389	1390.0
2017_2	1590.33333333	78.55667	1588.0
2017_1	1561.25	75.91083	1538.0
2017_3	1524.5	74.662	1484.0
2017_4	1562.76923077	76.29865	1551.0
2017_5	1539.08108108	75.45909	1518.0
2017_6	1467.83333333	69.36329	1377.0
2017_7	1487.34482759	72.9766	1468.0
2017_8	1536.03333333	74.81873	1500.0
	chao1	PD_whole_tree	observed_otus
2016_1	1400.33333333	69.31631	1372.0
2016_3	1384.09677419	68.15071	1327.0
2016_2	1404.5	69.53299	1382.0
2016_4	1328.19565217	66.96885	1291.0
2017_2	1469.36363636	73.75898	1468.0
2017_1	1444.55	71.3894	1427.0
2017_3	1413.5	70.74628	1377.0
2017_4	1446.0	71.68183	1436.0
2017_5	1425.96875	70.77406	1404.0
2017_6	1354.19672131	65.46501	1281.0
2017_7	1374.73076923	68.27634	1358.0
2017_8	1422.11538462	69.97532	1389.0
	chao1	PD_whole_tree	observed_otus
2016_1	1314.33333333	65.62739	1285.0
2016_3	1295.21428571	64.78574	1246.0
2016_2	1315.37037037	66.01421	1297.0
2016_4	1244.6097561	63.43088	1211.0
2017_2	1375.66666667	69.61161	1375.0
2017_1	1355.4375	67.53031	1341.0
2017_3	1340.1	67.14697	1301.0
2017_4	1355.5	67.97217	1350.0
2017_5	1344.66666667	67.10597	1320.0
2017_6	1281.26666667	62.67911	1216.0
2017_7	1287.5	64.78378	1276.0
2017_8	1329.8	66.24905	1306.0
